worker_id,site_id,zone,device_id,timestamp,temperature_c,hrv_ms,jerk_ms3,heart_rate_bpm,spo2_pct,ambient_temp_c,humidity_pct,gas_ppm,ecg_stress,fall_confidence,x,y
WORKER_001,SITE_A,Hot Aisle,EDGE_A1,2026-08-28T10:00:00Z,42.1,25.0,2.80,142,91.2,41.0,64,55,0.76,0.10,12,22
WORKER_002,SITE_A,Cable Trench,EDGE_A2,2026-08-28T10:01:00Z,41.5,29.0,1.55,135,90.8,40.0,60,58,0.72,0.07,18,31
WORKER_003,SITE_A,Transformer Bay,EDGE_A3,2026-08-28T10:02:00Z,36.2,42.0,2.00,110,95.2,35.0,52,38,0.48,0.05,24,35
WORKER_004,SITE_B,Boiler Room,EDGE_B1,2026-08-28T10:03:00Z,35.8,44.0,1.90,108,95.8,34.5,50,36,0.45,0.04,29,44
WORKER_005,SITE_B,Underground Silo,EDGE_B2,2026-08-28T10:04:00Z,36.0,41.5,2.10,112,95.0,35.2,54,40,0.50,0.06,38,69
WORKER_006,SITE_B,Transformer Bay,EDGE_B3,2026-08-28T10:05:00Z,24.4,78.3,1.10,73,98.5,29.2,38,5,0.12,0.02,43,74
WORKER_007,SITE_C,Relay Room,EDGE_C1,2026-08-28T10:06:00Z,23.2,80.6,1.42,74,98.4,29.0,39,6,0.12,0.02,48,63
WORKER_008,SITE_C,Relay Room,EDGE_C2,2026-08-28T10:07:00Z,21.9,78.4,1.35,75,98.8,28.3,36,5,0.11,0.01,53,25
WORKER_009,SITE_C,Battery Room,EDGE_C3,2026-08-28T10:08:00Z,24.5,74.3,1.35,76,98.1,30.4,42,8,0.16,0.03,59,32
WORKER_010,SITE_D,Switch Yard,EDGE_D1,2026-08-28T10:09:00Z,25.1,73.8,1.44,77,98.0,31.0,43,7,0.17,0.03,64,39
WORKER_011,SITE_D,Switch Yard,EDGE_D2,2026-08-28T10:10:00Z,24.8,72.7,1.25,75,98.2,30.8,41,6,0.15,0.02,70,57
WORKER_012,SITE_D,Control Room,EDGE_D3,2026-08-28T10:11:00Z,22.7,74.9,1.65,81,98.0,30.1,41,8,0.17,0.03,76,65
WORKER_013,SITE_E,SCADA Hut,EDGE_E1,2026-08-28T10:12:00Z,23.9,79.2,1.29,76,98.4,29.8,38,6,0.12,0.02,82,70
WORKER_014,SITE_E,SCADA Hut,EDGE_E2,2026-08-28T10:13:00Z,24.6,72.1,1.32,77,98.1,30.9,42,7,0.16,0.03,84,31
WORKER_015,SITE_E,Transformer Bay,EDGE_E3,2026-08-28T10:14:00Z,25.9,70.6,1.45,80,97.9,32.2,46,9,0.20,0.04,89,40
WORKER_016,SITE_F,Cable Gallery,EDGE_F1,2026-08-28T10:15:00Z,22.2,83.2,1.27,71,98.9,28.0,37,5,0.09,0.01,92,49
WORKER_017,SITE_F,Cable Gallery,EDGE_F2,2026-08-28T10:16:00Z,23.5,75.1,1.73,82,97.9,30.8,44,8,0.19,0.04,14,57
WORKER_018,SITE_F,Hot Aisle,EDGE_F3,2026-08-28T10:17:00Z,24.7,75.4,1.32,76,98.1,30.2,41,6,0.15,0.03,19,64
WORKER_019,SITE_G,Control Room,EDGE_G1,2026-08-28T10:18:00Z,23.5,78.2,1.25,74,98.5,28.2,38,5,0.11,0.01,25,72
WORKER_020,SITE_G,Switchgear Room,EDGE_G2,2026-08-28T10:19:00Z,24.1,76.5,1.30,76,98.2,29.1,40,6,0.13,0.02,31,79
